Pathway	KEGG_ortholog	Step	Description
Thiamine	K00877	A_2_a	THI20; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5. 
Thiamine	K00941	A_2_b	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7] 
Thiamine	K14153	A_2_c:A_4_d	thiDE; hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosph 
Thiamine	K21219	A_2_d:A_4_e	thiDN; hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosph 
Thiamine	K03146	A_3_a	THI4, THI1; cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60] 
Thiamine	K22699	A_3_b	thi4; sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59] 
Thiamine	K01662	A_3_c_1-3	dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7] 
Thiamine	K03149	A_3_c_2-3	thiG; thiazole synthase [EC:2.8.1.10] 
Thiamine	K10810	A_3_c_3-3	tenI; thiazole tautomerase (transcriptional regulator TenI) [EC:5.3.99.10] 
Thiamine	K14154	A_4_a	THI6; thiamine-phosphate diphosphorylase / hydroxyethylthiazole kinase [EC:2.5.1.3 2.7.1.50] 
Thiamine	K21220	A_4_b	thiN; thiamine-phosphate diphosphorylase [EC:2.5.1.3] 
Thiamine	K00788	A_4_c	thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3] 
Thiamine	K22911	A_5_a	TH2; thiamine phosphate phosphatase / amino-HMP aminohydrolase [EC:3.1.3.100 3.5.99.-] 
Thiamine	K01077	A_5_b	E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1] 
Thiamine	K06949	A_5_c	rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100] 
Thiamine	K01078	A_5_d	PHO; acid phosphatase [EC:3.1.3.2] 
Thiamine	K14394	A_5_e	ACP1; low molecular weight phosphotyrosine protein phosphatase [EC:3.1.3.2 3.1.3.48] 
Thiamine	K23458	A_5_f	PHO5_11_12; repressible acid phosphatase [EC:3.1.3.2] 
Riboflavin	K01497	A_1_a	ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25] 
Riboflavin	K14652	A_1_b:A_4_b	ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25] 
Riboflavin	K08096	A_1_c_1-2	gch3; GTP cyclohydrolase IIa [EC:3.5.4.29] 
Riboflavin	K14653	A_1_c_2-2	arfB; 2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase [EC:3.5.1 
Riboflavin	K01498	A_2_a_1-2	ribD1; diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26] 
Riboflavin	K00082	A_2_a_2-2	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193] 
Riboflavin	K11752	A_2_b	ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uraci 
Riboflavin	K14654	A_2_c_1-2	RIB7, arfC; 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302] 
Riboflavin	K14655	A_2_c_2-2	RIB2, PUS8; tRNA pseudouridine32 synthase / 2,5-diamino-6-(5-phospho-D-ribitylamino)-pyrimidin-4(3H) 
Riboflavin	K20860	A_3_a	FHY1; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104 
Riboflavin	K20861	A_3_b	ybjI; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104 
Riboflavin	K20862	A_3_c	yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104 
Riboflavin	K21063	A_3_d	K21063; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104] 
Riboflavin	K21064	A_3_e	ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104] 
Riboflavin	K22912	A_3_f	PYRP2; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104] 
Riboflavin	K02858	A_4_a	ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12] 
Riboflavin	K00794	A_5_a	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78] 
Riboflavin	K00793	A_6_a	ribE, RIB5; riboflavin synthase [EC:2.5.1.9] 
Vitamin B6	K03472	A_1_a	epd; D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72] 
Vitamin B6	K03473	A_2_a	pdxB; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290] 
Vitamin B6	K00831	A_3_a	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52] 
Vitamin B6	K00097	A_4_a	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262] 
Vitamin B6	K03474	A_5_a	pdxJ; pyridoxine 5-phosphate synthase [EC:2.6.99.2] 
Vitamin B6	K00275	A_6_a	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5] 
Vitamin B6	K06215	B_1_a	pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6] 
Vitamin B6	K08681	B_2_a	pdxT, pdx2; pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6] 
NAD	K00278	A_1_a	nadB; L-aspartate oxidase [EC:1.4.3.16] 
NAD	K06989	A_1_b:B_6_a	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21] 
NAD	K03517	A_2_a	nadA; quinolinate synthase [EC:2.5.1.72] 
NAD	K00767	A_3_a	nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19] 
NAD	K00952	A_4_a:B_8_a	nadM; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1] 
NAD	K00969	A_4_b:B_8_b	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18] 
NAD	K06210	A_4_c:B_8_c	NMNAT; nicotinamide mononucleotide adenylyltransferase [EC:2.7.7.1 2.7.7.18] 
NAD	K13522	A_4_d:B_8_d	K13522, nadM; bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-] 
NAD	K19785	A_4_e:B_8_e	POF1; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1] 
NAD	K01916	A_5_a:B_7_a	nadE; NAD+ synthase [EC:6.3.1.5] 
NAD	K01950	A_5_b:B_7_b	E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1] 
NAD	K00453	B_1_a	TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11] 
NAD	K00463	B_1_b	IDO, INDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52] 
NAD	K01432	B_2_a	AFMID; arylformamidase [EC:3.5.1.9] 
NAD	K07130	B_2_b	kynB; arylformamidase [EC:3.5.1.9] 
NAD	K14263	B_2_c	BNA7; kynurenine formamidase [EC:3.5.1.9] 
NAD	K01556	B_3_a	KYNU, kynU; kynureninase [EC:3.7.1.3] 
NAD	K16901	B_4_a	K16901; anthranilate 3-monooxygenase (FAD) / 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.8 1. 
NAD	K00486	B_4_b	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9] 
NAD	K00452	B_5_a	HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6] 
Coenzyme A	K00826	A_1_a	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42] 
Coenzyme A	K00606	A_2_a	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] 
Coenzyme A	K00077	A_3_a	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169] 
Coenzyme A	K24263	A_3_b	panG; 2-dehydropantoate 2-reductase [EC:1.1.1.169] 
Coenzyme A	K01918	A_4_a	panC; pantoate--beta-alanine ligase [EC:6.3.2.1] 
Coenzyme A	K13799	A_4_b	panC-cmk; pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25] 
Coenzyme A	K06982	A_4_c	pok; pantoate kinase [EC:2.7.1.169] 
Coenzyme A	K09680	A_5_a:A_7_c	PANK1_2_3, CAB1, coaW; type II pantothenate kinase [EC:2.7.1.33] 
Coenzyme A	K00867	A_5_b:A_7_d	coaA; type I pantothenate kinase [EC:2.7.1.33] 
Coenzyme A	K03525	A_5_c:A_7_e	coaX; type III pantothenate kinase [EC:2.7.1.33] 
Coenzyme A	K09735	A_5_d:A_9_c	dpck; GTP-dependent dephospho-CoA kinase [EC:2.7.1.-] 
Coenzyme A	K09722	A_5_e	K09722, pps; 4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36] 
Coenzyme A	K21977	A_6_a	coaB; phosphopantothenate---cysteine ligase (CTP) [EC:6.3.2.5] 
Coenzyme A	K01922	A_6_b	PPCS, COAB; phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51] 
Coenzyme A	K13038	A_6_c:A_7_b	coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4. 
Coenzyme A	K01598	A_7_a	PPCDC, coaC; phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36] 
Coenzyme A	K01947	A_7_b	birA-coaX; biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase [EC:6.3.4.15 2.7. 
Coenzyme A	K00954	A_8_a	E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] 
Coenzyme A	K02201	A_8_b	E2.7.7.3B; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] 
Coenzyme A	K02318	A_8_c:A_9_b	COASY; phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24] 
Coenzyme A	K01513	A_8_d	ENPP1_3, CD203; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1 
Coenzyme A	K04765	A_8_e	mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9] 
Coenzyme A	K00859	A_9_a	coaE; dephospho-CoA kinase [EC:2.7.1.24] 
Biotin	K01906	A_1_a:B_1_a	bioW; 6-carboxyhexanoate--CoA ligase [EC:6.2.1.14] 
Biotin	K00652	A_2_a:B_2_a:C_7_a	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47] 
Biotin	K00833	A_3_a:B_3_a:C_8_a	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62] 
Biotin	K19562	A_3_b:B_3_b:C_8_b	BIO3-BIO1; bifunctional dethiobiotin synthetase / adenosylmethionine---8-amino-7-oxononanoate aminot 
Biotin	K19563	A_3_c:B_3_c:C_8_c	bioA, bioK; lysine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.105] 
Biotin	K01935	A_4_a:B_4_a:C_9_a	bioD; dethiobiotin synthetase [EC:6.3.3.3] 
Biotin	K01012	A_5_a:B_5_a:C_10_a	bioB; biotin synthase [EC:2.8.1.6] 
Biotin	K02169	C_1_a	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197] 
Biotin	K00647	C_2_a	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41] 
Biotin	K09458	C_2_b	fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] 
Biotin	K00059	C_3_a	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] 
Biotin	K02372	C_4_a	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59] 
Biotin	K00208	C_5_a	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10] 
Biotin	K02170	C_6_a	bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85] 
Biotin	K09789	C_6_b	bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85] 
Biotin	K19560	C_6_c	bioK; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85] 
Biotin	K19561	C_6_d	bioJ; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85] 
Folate	K17488	A_1_a	mptA; GTP cyclohydrolase IV [EC:3.5.4.39] 
Folate	K17487	A_2_a	mptB; 7,8-dihydroneopterin 2',3'-cyclic phosphate phosphodiesterase [EC:3.1.4.56] 
Folate	K22102	A_3_a	E4.1.2.59; dihydroneopterin phosphate aldolase [EC:4.1.2.59] 
Folate	K09739	A_3_b	mptD; dihydroneopterin aldolase [EC:4.1.2.25] 
Folate	K01633	A_3_e	folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81] 
Folate	K13939	A_4_a:A_3_c	FOL1; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase  
Folate	K13940	A_4_b:A_3_d	sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase  
Folate	K13941	A_4_c	folKP; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase  
Folate	K13950	A_4_d:B_1_a	pabAB; para-aminobenzoate synthetase [EC:2.6.1.85] 
Folate	K07142	A_4_e	mptE; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3] 
Folate	K00796	A_5_a:B_3_a	folP; dihydropteroate synthase [EC:2.5.1.15] 
Folate	K18824	A_5_b:B_3_b	sul2; dihydropteroate synthase type 2 [EC:2.5.1.15] 
Folate	K18825	A_5_c:B_3_c	sul3; dihydropteroate synthase type 3 [EC:2.5.1.15] 
Folate	K18974	A_5_d:B_3_d	sul1; dihydropteroate synthase type 1 [EC:2.5.1.15] 
Folate	K24102	A_5_e:A_6_d:B_3_e:B_4_d	folCP; dihydrofolate synthase / dihydropteroate synthase [EC:6.3.2.12 2.5.1.15] 
Folate	K11754	A_6_a:B_4_a	folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17] 
Folate	K20457	A_6_b:B_4_b	DHFS; dihydrofolate synthase [EC:6.3.2.12] 
Folate	K22099	A_6_c:B_4_c	folC2; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17] 
Folate	K01930	A_6_e	FPGS; folylpolyglutamate synthase [EC:6.3.2.17] 
Folate	K13938	A_7_a:B_7_a	folM; dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3] 
Folate	K19645	A_7_b:B_7_b	dfrB, dfr2; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3] 
Folate	K13998	A_7_c:B_7_c	DHFR-TS; dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45] 
Folate	K18589	A_7_d:B_7_d	dfrA1, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3] 
Folate	K18590	A_7_e:B_7_e	dfrA12, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3] 
Folate	K18591	A_7_f:B_7_f	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3] 
Folate	K19643	A_7_g:B_7_g	dfrA10, dfr10; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3] 
Folate	K19644	A_7_h:B_7_h	dfrA19, dfrA18; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3] 
Folate	K00287	A_7_i	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3] 
Folate	K01664	B_1_b_1-2	pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85] 
Folate	K01665	B_1_b_2-2	pabB; para-aminobenzoate synthetase component I [EC:2.6.1.85] 
Folate	K03342	B_1_c	pabBC; para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38] 
Folate	K02619	B_2_a	pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38] 
Folate	K18482	B_2_b	ADCL; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38] 
Oxidative Phosphorylation	K00330	A_1_a_1-14	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2] 
Oxidative Phosphorylation	K00339	A_1_a_10-14	nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2] 
Oxidative Phosphorylation	K00340	A_1_a_11-14	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] 
Oxidative Phosphorylation	K00341	A_1_a_12-14	nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2] 
Oxidative Phosphorylation	K00342	A_1_a_13-14	nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2] 
Oxidative Phosphorylation	K00343	A_1_a_14-14	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2] 
Oxidative Phosphorylation	K00331	A_1_a_2-14	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2] 
Oxidative Phosphorylation	K00332	A_1_a_3-14	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2] 
Oxidative Phosphorylation	K00333	A_1_a_4-14	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2] 
Oxidative Phosphorylation	K00334	A_1_a_5-14	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2] 
Oxidative Phosphorylation	K00335	A_1_a_6-14	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2] 
Oxidative Phosphorylation	K00336	A_1_a_7-14	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2] 
Oxidative Phosphorylation	K00337	A_1_a_8-14	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2] 
Oxidative Phosphorylation	K00338	A_1_a_9-14	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] 
Oxidative Phosphorylation	K03878	A_1_b_1-7	ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03879	A_1_b_2-7	ND2; NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03880	A_1_b_3-7	ND3; NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03881	A_1_b_4-7	ND4; NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03882	A_1_b_5-7	ND4L; NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2] 
Oxidative Phosphorylation	K03883	A_1_b_6-7	ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03884	A_1_b_7-7	ND6; NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03885	A_1_c	ndh; NADH:ubiquinone reductase (H+-translocating) [EC:7.1.1.2] 
Oxidative Phosphorylation	K03934	A_1_d_1-11	NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03943	A_1_d_10-11	NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03944	A_1_d_11-11	NDUFV3; NADH dehydrogenase (ubiquinone) flavoprotein 3 
Oxidative Phosphorylation	K03935	A_1_d_2-11	NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03936	A_1_d_3-11	NDUFS3; NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03937	A_1_d_4-11	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4 
Oxidative Phosphorylation	K03938	A_1_d_5-11	NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5 
Oxidative Phosphorylation	K03939	A_1_d_6-11	NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6 
Oxidative Phosphorylation	K03940	A_1_d_7-11	NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03941	A_1_d_8-11	NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03942	A_1_d_9-11	NDUFV1; NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2] 
Oxidative Phosphorylation	K03945	A_1_e_1-14	NDUFA1; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1 
Oxidative Phosphorylation	K03954	A_1_e_10-14	NDUFA10; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10 
Oxidative Phosphorylation	K03955	A_1_e_11-14	NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein 
Oxidative Phosphorylation	K03956	A_1_e_12-14	NDUFA11; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11 
Oxidative Phosphorylation	K11352	A_1_e_13-14	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12 
Oxidative Phosphorylation	K11353	A_1_e_14-14	NDUFA13; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13 
Oxidative Phosphorylation	K03946	A_1_e_2-14	NDUFA2; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2 
Oxidative Phosphorylation	K03947	A_1_e_3-14	NDUFA3; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3 
Oxidative Phosphorylation	K03948	A_1_e_4-14	NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4 
Oxidative Phosphorylation	K03949	A_1_e_5-14	NDUFA5; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5 
Oxidative Phosphorylation	K03950	A_1_e_6-14	NDUFA6; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6 
Oxidative Phosphorylation	K03951	A_1_e_7-14	NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7 
Oxidative Phosphorylation	K03952	A_1_e_8-14	NDUFA8; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8 
Oxidative Phosphorylation	K03953	A_1_e_9-14	NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9 
Oxidative Phosphorylation	K03957	A_1_f_1-13	NDUFB1; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1 
Oxidative Phosphorylation	K03966	A_1_f_10-13	NDUFB10; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10 
Oxidative Phosphorylation	K11351	A_1_f_11-13	NDUFB11; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11 
Oxidative Phosphorylation	K03967	A_1_f_12-13	NDUFC1; NADH dehydrogenase (ubiquinone) 1 subunit C1 
Oxidative Phosphorylation	K03968	A_1_f_13-13	NDUFC2; NADH dehydrogenase (ubiquinone) 1 subunit C2 
Oxidative Phosphorylation	K03958	A_1_f_2-13	NDUFB2; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2 
Oxidative Phosphorylation	K03959	A_1_f_3-13	NDUFB3; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3 
Oxidative Phosphorylation	K03960	A_1_f_4-13	NDUFB4; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4 
Oxidative Phosphorylation	K03961	A_1_f_5-13	NDUFB5; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5 
Oxidative Phosphorylation	K03962	A_1_f_6-13	NDUFB6; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6 
Oxidative Phosphorylation	K03963	A_1_f_7-13	NDUFB7; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7 
Oxidative Phosphorylation	K03964	A_1_f_8-13	NDUFB8; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8 
Oxidative Phosphorylation	K03965	A_1_f_9-13	NDUFB9; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9 
Oxidative Phosphorylation	K05572	A_1_g_1-17	ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2] 
Oxidative Phosphorylation	K05581	A_1_g_10-17	ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2] 
Oxidative Phosphorylation	K05582	A_1_g_11-17	ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2] 
Oxidative Phosphorylation	K05583	A_1_g_12-17	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2] 
Oxidative Phosphorylation	K05584	A_1_g_13-17	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2] 
Oxidative Phosphorylation	K05585	A_1_g_14-17	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2] 
Oxidative Phosphorylation	K05586	A_1_g_15-17	hoxE; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2] 
Oxidative Phosphorylation	K05587	A_1_g_16-17	hoxF; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2] 
Oxidative Phosphorylation	K05588	A_1_g_17-17	hoxU; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2] 
Oxidative Phosphorylation	K05573	A_1_g_2-17	ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2] 
Oxidative Phosphorylation	K05574	A_1_g_3-17	ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2] 
Oxidative Phosphorylation	K05575	A_1_g_4-17	ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2] 
Oxidative Phosphorylation	K05576	A_1_g_5-17	ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2] 
Oxidative Phosphorylation	K05577	A_1_g_6-17	ndhF; NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2] 
Oxidative Phosphorylation	K05578	A_1_g_7-17	ndhG; NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2] 
Oxidative Phosphorylation	K05579	A_1_g_8-17	ndhH; NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2] 
Oxidative Phosphorylation	K05580	A_1_g_9-17	ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2] 
Oxidative Phosphorylation	K00234	A_2_a_1-4	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1] 
Oxidative Phosphorylation	K00235	A_2_a_2-4	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1] 
Oxidative Phosphorylation	K00236	A_2_a_3-4	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit 
